"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
British Columbia,    High Wage,Omni Drywall Ltd,"Surrey, BC V3W 0A8",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,One 4 All Construction Ltd.,"Surrey, BC V3W 0L1","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,One Stop Payless Dry Cleaners Ltd,"Delta, BC V4C 6R8",6316-Other services supervisors,1
British Columbia,    High Wage,Onyx Automotive Ltd.,"Surrey, BC V3W 5A7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,Opa Guildford Foods Inc.,"Surrey, BC V3R 7C1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Open Electrical Solutions Inc.,"Delta, BC V4G 1K7",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Orbis Express Ltd.,"Richmond, BC V7C 4N1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,P K Food Equipments Ltd.,"surrey, BC V3R 7S2",7313-Refrigeration and air conditioning mechanics,1
British Columbia,    High Wage,P.R.G.HOMES INC.,"SURREY, BC V3W 5X6",7271-Carpenters,1
British Columbia,    High Wage,Pacific Art Stone Inc.,"Surrey BC, BC V3W 6E2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Pacific Art Stone Inc.,"Surrey BC, BC V3W 6E2",1241-Administrative assistants,1
British Columbia,    High Wage,Pacific Salmon Industries Inc,"Surrey, BC V3W 4G1",9463-Fish and seafood plant workers,1
British Columbia,    High Wage,Panago Pizza Gibsons,"Gibsons, BC V0N 1V9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Panex Courier & Branding Ltd.,"Richmond, BC V7C 4V4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,PANJAB DRYWALL LTD.,"SURREY, BC V3V 4X6",7271-Carpenters,2
British Columbia,    High Wage,PANJAB DRYWALL LTD.,"SURREY, BC V3V 4X6","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Panther Express Ltd.,"Abbotsford, BC V2T 6Y2",7511-Transport truck drivers,4
British Columbia,    High Wage,Park Hair Studio Ltd.,"Burnaby, BC V5C 6R6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Parkcity Construction Ltd.,"Surrey, BC V3S 3T1",1241-Administrative assistants,1
British Columbia,    High Wage,Parkhouse Holdings Limited,"Vancouver, BC V6B 3L9",6321-Chefs,1
British Columbia,    High Wage,Payal Chat House Ltd,"Surrey BC, BC V3W 0E6",6311-Food service supervisors,1
British Columbia,    High Wage,Payal Chat House Ltd,"Surrey BC, BC V3W 0E6",6322-Cooks,2
British Columbia,    High Wage,Payless Kitchen Cabinets Ltd,"Surrey, BC V3W 2W1",7272-Cabinetmakers,1
British Columbia,    High Wage,Payless Paving Ltd,"Langley, BC V2Z 3A6",7521-Heavy equipment operators (except crane),2
British Columbia,    High Wage,PBA HOMES CONSTRUCTION LTD,"SURREY, BC V3V 2A6",7271-Carpenters,1
British Columbia,    High Wage,PBW Development Ltd,"Burnaby, BC V3N 3G8",7251-Plumbers,1
British Columbia,    High Wage,PDQ Construction Ltd.,"Langley, BC V3A 3Y6",7611-Construction trades helpers and labourers,2
British Columbia,    High Wage,Peach Blossom Childcare Centre inc.,"North Vancouver, BC V7P 2C7",1241-Administrative assistants,1
British Columbia,    High Wage,Peak Season Staffing Inc.,"Delta, BC V4G 1C9",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,Perler Financial Group Inc.,"Port Coquitlam, BC V3C 2B2",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,Perpetual Insurance Services Ltd,"Vancouver, BC V5V 4C3","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Persia Food Products Inc.,"North Vancouver, BC V7M 1R5",1241-Administrative assistants,1
British Columbia,    High Wage,Persian Kebab Inc.,"Victoria, BC V8T 4E4",6322-Cooks,2
British Columbia,    High Wage,Petparentz Ecommerce Incorporated,"Surrey, BC V3T 4H4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Phoenix Automotive Ltd,"Surrey, BC V3W 0A8",7312-Heavy-duty equipment mechanics,1
British Columbia,    High Wage,Phoenix Construction Systems Ltd.,"Surrey, BC V3W 0K5",7271-Carpenters,2
British Columbia,    High Wage,Phoenix Construction Systems Ltd.,"Surrey, BC V3W 0K5","7284-Plasterers, drywall installers and finishers and lathers",3
British Columbia,    High Wage,Phoenix Rebar Consultants Ltd.,"New Westminster, BC V3M 1J2",2253-Drafting technologists and technicians,1
British Columbia,    High Wage,Pieter Ciere Enterprises Inc.,"Surrey, BC V3W 5A8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,Pinnacle Landscapes Ltd,"Kelowna, BC V1P 1C1","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
British Columbia,    High Wage,Pioneer Log Homes of British Columbia Ltd.,"Williams Lake, BC V2G 3P7",7271-Carpenters,2
British Columbia,    High Wage,Pisces Signage Ltd,"Delta, BC V4C 3N6",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,PIZZA MANTRA RESTAURANTS INC,"LANGLEY, BC V1M 4A7",6322-Cooks,1
British Columbia,    High Wage,Pizza Town and Indian Cuisine Ltd,"Coquitlam, BC V3J 1S6",6311-Food service supervisors,1
British Columbia,    High Wage,Pizza Town and Indian Cuisine Ltd,"Coquitlam, BC V3J 1S6",6322-Cooks,2
British Columbia,    High Wage,Polar Stone & Concrete Inc.,"NORTH VANCOUVER, BC V7P 1V7","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,Posh Construction Ltd.,"Lantzville, BC V0R 2H0",7271-Carpenters,1
British Columbia,    High Wage,POSH LASH LTD.,"vancouver, BC V6B 1G8","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,POWERLINE Construction LTD,"Surrey, BC V3S 4A2",7271-Carpenters,3
British Columbia,    High Wage,"PR Pomeroy Restoration & Construction (BC) Inc,","Coquitlam, BC V3K 7B8",7271-Carpenters,5
British Columbia,    High Wage,Prime Packaging Company Ltd.,"Richmond, BC V6X 2A7",7381-Printing press operators,2
British Columbia,    High Wage,Pro Ledgers Inc,"Chilliwack, BC V2P 4R2",1221-Administrative officers,1
British Columbia,    High Wage,Prospect Millworks Ltd.,"Coquitlam, BC V3B 7W4",7231-Machinists and machining and tooling inspectors,1
British Columbia,    High Wage,Protek Driver Services Ltd,"Delta, BC V3M 5P7",7511-Transport truck drivers,4
British Columbia,    High Wage,PTOLEMYTECH CONSULTANTS INC.,"Delta, BC V3M 5P8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Punia Enterprises Ltd.,"Surrey, BC V3R 4G5",1221-Administrative officers,1
British Columbia,    High Wage,PURAN ENTERPRISES LTD.,"RICHMOND, BC V6Y 2B6",6311-Food service supervisors,1
British Columbia,    High Wage,Pure Indian Sweets and Snacks Ltd. DBA Pure Indian Sweets Snack's and Catering,"Surrey, BC V3S 2A1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Pure Indian Sweets and Snacks Ltd. DBA Pure Indian Sweets Snack's and Catering,"Surrey, BC V3S 2A1",6311-Food service supervisors,1
British Columbia,    High Wage,Pure Indian Sweets and Snacks Ltd. DBA Pure Indian Sweets Snack's and Catering,"Surrey, BC V3S 2A1",6322-Cooks,1
British Columbia,    High Wage,PURIIN SPA AND WELLNESS LTD.,"vancouver, BC V6E 4R5",6316-Other services supervisors,1
British Columbia,    High Wage,Puzzle Developments Ltd.,"Vancouver, BC V5X 1N2",1241-Administrative assistants,1
British Columbia,    High Wage,Qualicum Quality Care Services Ltd,"Qualicum Beach, BC V9K 2T8","3413-Nurse aides, orderlies and patient service associates",5
British Columbia,    High Wage,Quality First Painting LTD.,"SURREY, BC V3S 5Z6",7294-Painters and decorators (except interior decorators),4
British Columbia,    High Wage,Quantum Technology Corporation,"Squamish, BC V8B 0V2",1223-Human resources and recruitment officers,1
British Columbia,    High Wage,R D K Marketing Solutions Ltd,"Surrey, BC V3W 3A6",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,R T Roofing Ltd.,"Surrey, BC V3W 9G9",7291-Roofers and shinglers,1
British Columbia,    High Wage,R&T Bottle Depot Ltd,"Abbotsford, BC V2T 4C6",6316-Other services supervisors,1
British Columbia,    High Wage,R.N. Ventures Ltd,"Port Coquitlam, BC V3C 3Y9",1221-Administrative officers,1
British Columbia,    High Wage,R.S.D.R ENTERPRISES LTD,"Burnaby, BC V5H 1Z5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,R.S.S. Enterprises Ltd.,"COQUITLAM, BC V3B 1C2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Rachna Holdings Inc.,"Vancouver, BC V6E 1N6",6322-Cooks,1
British Columbia,    High Wage,Rahelu Plumbing & Heating Ltd.,"Surrey, BC V3W 0A6",7251-Plumbers,1
British Columbia,    High Wage,Rainbow Renovation Ltd.,"Delta, BC V4C 1X8",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Raincity Installations Inc,"Maple Ridge, BC V4R 0B7",7271-Carpenters,1
British Columbia,    High Wage,Raiwal Agro Tech Foods Ltd,"Surrey, BC V3Z 1C3",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Randhawa Law Centre Law Corporation,"Surrey, BC V3W 3A8",1241-Administrative assistants,1
British Columbia,    High Wage,Randstad Interim Inc.,"New Westminster, BC V3M 1B9",1223-Human resources and recruitment officers,1
British Columbia,    High Wage,RANGE FREIGHTWAYS LTD.,"Delta, BC V3M 6H9",7511-Transport truck drivers,7
British Columbia,    High Wage,RCT Contracting Ltd,"Richmond, BC V7C 5J8",7271-Carpenters,2
British Columbia,    High Wage,Real Earth Bounty Holdings Ltd,"Pitt Meadows, BC V3Y 0G4",0111-Financial managers,1
British Columbia,    High Wage,Real Earth Bounty Holdings Ltd,"Pitt Meadows, BC V3Y 0G4",0601-Corporate sales managers,1
British Columbia,    High Wage,Red Energy Films Inc.,"Coquitlam, BC V3C 4J2","5131-Producers, directors, choreographers and related occupations",2
British Columbia,    High Wage,Red Leaf Landscaping Ltd,"Surrey, BC V3W 2S7",2225-Landscape and horticulture technicians and specialists,4
British Columbia,    High Wage,Reddy's Auto Cosmetics Inc.,"Richmond, BC V6X 2B1",1241-Administrative assistants,1
British Columbia,    High Wage,Reddy's Auto Cosmetics Inc.,"Richmond, BC V6X 2B1",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Regal Exterior Ltd.,"Surrey, BC V3W 7G2",7271-Carpenters,2
British Columbia,    High Wage,RELIANCE LOGISTICS INC,"Surrey, BC V3S 1X7",7511-Transport truck drivers,10
British Columbia,    High Wage,Remarkable Painting Ltd.,"Surrey, BC V3W 9H4",7294-Painters and decorators (except interior decorators),4
British Columbia,    High Wage,Remdal Painting & Restoration Inc.,"Surrey, BC V4N 4A9",7294-Painters and decorators (except interior decorators),6
British Columbia,    High Wage,Renu Bio Health Ltd.,"Vancouver, BC V5K 4Y3",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,RepairExpress Enterprises Canada Inc.,"Penticton, BC V2A 5Y5",7246-Telecommunications installation and repair workers,1
British Columbia,    High Wage,Reunion Upload Productions Inc.,"COQUITLAM, BC V3K 6H1","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1
British Columbia,    High Wage,Richmond Transport Ltd.,"Abbotsford, BC V2T 3K1",7511-Transport truck drivers,10
British Columbia,    High Wage,RICKY'S ELECTRIC LTD,"ABBOTSFORD, BC V4X 0A6",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,RIDGE VALLEY HOMES LTD.,"Abbotsford, BC V2T 2R3",7611-Construction trades helpers and labourers,3
British Columbia,    High Wage,Right touch construction ltd.,"Abbotsford, BC V2T 4Y7",7271-Carpenters,2
British Columbia,    High Wage,RJ1 TRUCKS & CRANE SERVICES LTD.,"Abbotsford, BC V2T 4Z4",7511-Transport truck drivers,3
British Columbia,    High Wage,RKG Holdings LTD.,"Surrey, BC V3S 3K2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Roadrun Truck Repairs Ltd.,"Surrey, BC V3V 5R6",7237-Welders and related machine operators,1
British Columbia,    High Wage,ROBUST TRANSPORT SERVICES LTD.,"ABBOTSFORD, BC V2T 4A2",7511-Transport truck drivers,15
British Columbia,    High Wage,Rocket Ship Couriers Ltd.,"Surrey, BC V4N 4E6",2173-Software engineers and designers,1
British Columbia,    High Wage,Roham Electric and Construction Inc.,"Vancouver, BC V6Z 2E8","0016-Senior managers - construction, transportation, production and utilities",1
British Columbia,    High Wage,RooFix Services Inc.,"Burnaby, BC V5A 3C2",7291-Roofers and shinglers,1
British Columbia,    High Wage,Rose Beauty Salon Ltd.,"Surrey, BC V3W 1R1",6341-Hairstylists and barbers,1
British Columbia,    High Wage,Royal Classical Agriculture Ltd.,"Delta, BC V3M 6J1",1111-Financial auditors and accountants,1
British Columbia,    High Wage,Royal Glaziers Inc.,"Surrey, BC V3T 0B2",7292-Glaziers,1
British Columbia,    High Wage,Royal Kitchen Cabinets Ltd.,"Surrey, BC V3W 3A4",7272-Cabinetmakers,1
British Columbia,    High Wage,RRA Trucking Ltd.,"Surrey, BC V4N 5J1",1241-Administrative assistants,1
British Columbia,    High Wage,S & D Electric Ltd.,"Surrey, BC V3T 3P3",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,S & NJ Construction LTD,"Surrey, BC V3V 4X9",7271-Carpenters,1
British Columbia,    High Wage,S & P Framing Ltd,"Abbotsford, BC V2T 5C6",7271-Carpenters,2
British Columbia,    High Wage,S B TRUCKING LTD.,"Surrey, BC V3W 0A6",7511-Transport truck drivers,13
British Columbia,    High Wage,S Jee Framing Ltd.,"Surrey, BC V3W 7N6",7271-Carpenters,2
British Columbia,    High Wage,S&S DRYWALL & RUBBISH REMOVAL LTD.,"SURREY, BC V3X 3T3","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,S.K. Quality Homes Ltd,"Abbotsford, BC V2T 6V6",7271-Carpenters,2
British Columbia,    High Wage,S.R.A.G TRUCKING INC.,"Surrey, BC V3T 3E5",7511-Transport truck drivers,5
British Columbia,    High Wage,saab electric ltd.,"Surrey, BC V3R 3V9",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Sabai Thai Spa Inc.,"Port Coquitlam, BC V3B 1A8",3232-Practitioners of natural healing,1
British Columbia,    High Wage,SACHIN CAPITAL CORP,"RICHMOND, BC V6V 3B7",1221-Administrative officers,1
British Columbia,    High Wage,Safe and Secure Gates Ltd. dba Gates your Way,"CHILLIWACK, BC V2P 4P3","0016-Senior managers - construction, transportation, production and utilities",1
British Columbia,    High Wage,Safetech Scaffold Ltd,"Surrey, BC V3V 4K8","7204-Contractors and supervisors, carpentry trades",2
British Columbia,    High Wage,Safeway tire depot Ltd,"Surrey, BC V3V 3G7",6222-Retail and wholesale buyers,1
British Columbia,    High Wage,Sahil Express Line Ltd.,"Delta, BC V4E 2E3","7305-Supervisors, motor transport and other ground transit operators",1
British Columbia,    High Wage,Sahota Farms Ltd.,"Abbotsford, BC V3G 2S1",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Samra Investments Ltd.,"Kamloops, BC V2C 1K8",0632-Accommodation service managers,1
British Columbia,    High Wage,SAN INDUSTRIES LTD.,"LANGLEY, BC V1M 3N8","9227-Supervisors, other products manufacturing and assembly",1
British Columbia,    High Wage,Sandher Roofing Inc,"Kelowna, BC V1P 1L8",7271-Carpenters,1
British Columbia,    High Wage,Sandher Roofing Inc,"Kelowna, BC V1P 1L8",7291-Roofers and shinglers,2
British Columbia,    High Wage,Sandhu & Company Accountant INC,"Vancouver, BC V5R 5H3",1221-Administrative officers,1
British Columbia,    High Wage,Sandhu Express Inc,"Vancouver, BC V6Z 3C2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,Sangam Sweets & Curry Express Inc.,"Mission, BC V2V 1A4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Santech Communications Ltd.,"Delta, BC V4C 1M5",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Sarl Construction Ltd.,"Surrey, BC V3S 4K6",7233-Sheet metal workers,1
British Columbia,    High Wage,Scanline VFX Inc.,"Vancouver, BC V6C 1W6",2174-Computer programmers and interactive media developers,1
British Columbia,    High Wage,Sea to Sky Siding & Gutter Ltd,"Abbotsford, BC V2T 4K1",7271-Carpenters,1
British Columbia,    High Wage,Seashore Floor & Carpet Inc.,"NORTH VANCOUVER, BC V7P 1V7",7295-Floor covering installers,1
British Columbia,    High Wage,Seaville Transport Logistics Ltd,"Richmond, BC V6V 1L6",1241-Administrative assistants,1
