"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
British Columbia,    High Wage,Pawty Event Planning Ltd.,"Coquitlam, BC V3B 2P5",1226-Conference and event planners,1
British Columbia,    High Wage,Pay less Quality Doors Ltd,"Surrey, BC V3W 3A6",7271-Carpenters,1
British Columbia,    High Wage,PB-23 DRYWALL & CONSTRUCTION LTD.,"SURREY, BC V3W 5S7",7271-Carpenters,3
British Columbia,    High Wage,PB-23 DRYWALL & CONSTRUCTION LTD.,"SURREY, BC V3W 5S7","7284-Plasterers, drywall installers and finishers and lathers",3
British Columbia,    High Wage,PBW Development Ltd,"Burnaby, BC V3N 3G8",7251-Plumbers,1
British Columbia,    High Wage,PC Motors Inc.,"Dawson Creek, BC V1G 3G9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,PDQ Construction Ltd.,"Langley, BC V3A 3Y6",7611-Construction trades helpers and labourers,2
British Columbia,    High Wage,Peak Construction Ltd.,"Surrey, BC V3Z 0S8",7271-Carpenters,1
British Columbia,    High Wage,Penfolds Residential Roofing Inc.,"Coquitlam, BC V3K 6X3",7271-Carpenters,1
British Columbia,    High Wage,Penfolds Residential Roofing Inc.,"Coquitlam, BC V3K 6X3",7291-Roofers and shinglers,11
British Columbia,    High Wage,Pho Boi Restaurant Mayfair Ltd,"Victoria, BC V8Z 6E3",0631-Restaurant and food service managers,2
British Columbia,    High Wage,Phoenix Homes (2011) Ltd.,"Surrey, BC V3W 0K5",7271-Carpenters,3
British Columbia,    High Wage,Phoenix Rebar Consultants Ltd.,"New Westminster, BC V3M 1J2",2253-Drafting technologists and technicians,1
British Columbia,    High Wage,Pipe Genie Mfg Inc,"Burnaby, BC V5B 4A5",7251-Plumbers,1
British Columbia,    High Wage,PK Marshall Food  Inc.,"Abbotsford, BC V2S 1L8",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Plam Finishing Ltd.,"New Westminster, BC V3M 3E6",7271-Carpenters,1
British Columbia,    High Wage,Planet Express Transport Ltd,"Surrey, BC V3W 2N5",7511-Transport truck drivers,8
British Columbia,    High Wage,Platinum Bros. Reinforcing LTD.,"Vancouver, BC V6B 6P6",7236-Ironworkers,2
British Columbia,    High Wage,Platinum Drywall Ltd.,"Delta, BC V4C 1N6","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,PLEX SECURITY LIMITED,"Surrey, BC V3T 3J5",6316-Other services supervisors,1
British Columbia,    High Wage,POINT MARK CONSTRUCTION LTD,"surrey, BC V3W 2E4",7271-Carpenters,2
British Columbia,    High Wage,POLAR EXTERIOR INC.,"PORT COQUITLAM, BC V3C 5Y8",7271-Carpenters,5
British Columbia,    High Wage,Polstar Construction LTD,"Port Coquitlam, BC V3C 1S2",7271-Carpenters,6
British Columbia,    High Wage,Polyga Inc,"BURNABY, BC V5C 6P7",2174-Computer programmers and interactive media developers,2
British Columbia,    High Wage,Poshmark Canada Inc,"Vancouver, BC V6B 2X1",0125-Other business services managers,1
British Columbia,    High Wage,Power Cool Electrical & Refrigeration Mech Ltd,"Vancouver, BC V5X 3E8",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,POWERMAX AUTOMOTIVE CORPORATION,"North vancouver, BC V7L 1A3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
British Columbia,    High Wage,"PR Pomeroy Restoration & Construction (BC) Inc,","Coquitlam, BC V3K 7B8",7611-Construction trades helpers and labourers,4
British Columbia,    High Wage,Precision Greens INC,"Langley, BC V3A 1P2",2225-Landscape and horticulture technicians and specialists,1
British Columbia,    High Wage,Premier Port Limited,"Vancouver, BC V5S 2J7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Premium Fence Inc.,"Surrey, BC V4N 4C1","7204-Contractors and supervisors, carpentry trades",1
British Columbia,    High Wage,Prestige Dry Cleaning & Alterations Inc.,"North Vancouver, BC V7M  3E","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,Prime Health Ltd.,"Maple Ridge, BC V2X 0Y4",7311-Construction millwrights and industrial mechanics,1
British Columbia,    High Wage,Prizm Electric Ltd.,"Abbotsford, BC V4X 1H7",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,PRO TECH COLLISION LTD,"SURREY, BC V3W 1M4",1221-Administrative officers,1
British Columbia,    High Wage,Proud Refrigerators Inc,"Burnaby, BC V5G 4K4",1221-Administrative officers,1
British Columbia,    High Wage,Provincial Health Services Authority,"Vancouver, BC V6H 1G9",3111-Specialist physicians,1
British Columbia,    High Wage,Psyco Pizza Ltd.,"Surrey, BC V4A 9E3",1221-Administrative officers,1
British Columbia,    High Wage,Punjab construction Ltd.,"Abbortsford, BC V2T 1C4",7271-Carpenters,2
British Columbia,    High Wage,Punjab Optical Ltd.,"Delta, BC V4C 6R4",6211-Retail sales supervisors,1
British Columbia,    High Wage,PURAN ENTERPRISES LTD.,"Richmond, BC V6Y 2B6",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Puri Physiotherapist Corporation,"Surrey, BC V3W 3N4",3237-Other technical occupations in therapy and assessment,2
British Columbia,    High Wage,QUADRA WOOD PRODUCTS LTD,"ABBOTSFORD, BC V2S 7M6",1121-Human resources professionals,1
British Columbia,    High Wage,QUADRA WOOD PRODUCTS LTD,"ABBOTSFORD, BC V2S 7M6","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,QUADRA WOOD PRODUCTS LTD,"ABBOTSFORD, BC V2S 7M6",7242-Industrial electricians,1
British Columbia,    High Wage,Qualicum Quality Care Services Ltd,"Qualicum Beach, BC V9K 2T8",3012-Registered nurses and registered psychiatric nurses,2
British Columbia,    High Wage,Qualicum Quality Care Services Ltd,"Qualicum Beach, BC V9K 2T8",3233-Licensed practical nurses,2
British Columbia,    High Wage,Quantum Academy (Vancouver) Ltd.,"Vancouver, BC V6M 3Y2","0014-Senior managers - health, education, social and community services and membership organizations",1
British Columbia,    High Wage,Quantum Academy (Vancouver) Ltd.,"Vancouver, BC V6M 3Y2",4021-College and other vocational instructors,1
British Columbia,    High Wage,Quick Drywall Ltd,"Delta, BC V4C 6A8","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,QUICK TIRE & SERVICE LTD,"surrey, BC V3S 9V2","7301-Contractors and supervisors, mechanic trades",1
British Columbia,    High Wage,QY LIFE TRADING LIMITED,"Vancouver, BC V6B 2Z4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Rahelu Plumbing & Heating Ltd.,"Surrey, BC V3W 0A6",1241-Administrative assistants,1
British Columbia,    High Wage,RAI BROS. CONSTRUCTION LTD.,"Surrey, BC V3R 7K9","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,Rai Brothers Drywall Ltd.,"Surrey, BC V3W 2N2","7284-Plasterers, drywall installers and finishers and lathers",3
British Columbia,    High Wage,Rai Express Lines Ltd,"Surrey, BC V3W 0M8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Rai Express Lines Ltd,"Surrey, BC V3W 0M8",7511-Transport truck drivers,6
British Columbia,    High Wage,Rainbow Granite and Marble Inc,"Surrey, BC V3W 8J9",7283-Tilesetters,2
British Columbia,    High Wage,Raincity Driving School Ltd.,"Burnaby, BC V5G 3J2",4216-Other instructors,1
British Columbia,    High Wage,Raisahara Drywall Ltd.,"Surrey, BC V3W 6E3",2242-Electronic service technicians (household and business equipment),1
British Columbia,    High Wage,RAKES AND LADDERS HORTICULTURAL SERVICES LTD.,"VANCOUVER, BC V6P 3V9",2225-Landscape and horticulture technicians and specialists,1
British Columbia,    High Wage,Rakkar Transport ltd,"Surrey, BC V3W 5R9",7511-Transport truck drivers,2
British Columbia,    High Wage,RAMA SWEETS AND RESTAURANT LTD,"Surrey, BC V3W 3M8",6322-Cooks,3
British Columbia,    High Wage,RANGE FREIGHTWAYS LTD.,"Delta, BC V3M 6H9",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Really Amazing Food Ltd.,"Vancouver, BC V6B 3J5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Reason International Trading Ltd.,"Victoria, BC V8T 1Z4",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Red Energy Films Inc.,"Coquitlam, BC V3C 4J2",6541-Security guards and related security service occupations,1
British Columbia,    High Wage,Red Energy Films Inc.,"Coquitlam, BC V3C 4J2","6742-Other service support occupations, n.e.c.",2
British Columbia,    High Wage,Redstar Transport Ltd,"Abbotsford, BC V4X 0B8",7511-Transport truck drivers,4
British Columbia,    High Wage,REEF TRUCKING ENTERPRISES LTD,"SURREY, BC V3S 1X7",7511-Transport truck drivers,8
British Columbia,    High Wage,Rekhi Trucking Ltd,"Burnaby, BC V5J 1X5",1221-Administrative officers,1
British Columbia,    High Wage,Reliance Kitchen Cabinets Ltd,"Surrey, BC V3W 0A6",7271-Carpenters,5
British Columbia,    High Wage,Revit Construction Inc,"Burnaby, BC V3N 1T3",7271-Carpenters,3
British Columbia,    High Wage,R-Four Contracting Ltd.,"Burnaby, BC V3N 2M5",7271-Carpenters,13
British Columbia,    High Wage,R-Four Contracting Ltd.,"Burnaby, BC V3N 2M5",7282-Concrete finishers,2
British Columbia,    High Wage,RICKY'S ELECTRIC LTD,"ABBOTSFORD, BC V4X 0A6",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Right touch construction ltd.,"Abbotsford, BC V2T 4Y7",7611-Construction trades helpers and labourers,4
British Columbia,    High Wage,Right-Link Logistics Ltd.,"Abbotsford, BC V2S 7N2",7511-Transport truck drivers,18
British Columbia,    High Wage,River City Countertops Ltd,"Kamloops, BC V2C 4A8",7283-Tilesetters,1
British Columbia,    High Wage,Riverside Forest Products (2018) Inc.,"Surrey, BC V3R 2V3",7237-Welders and related machine operators,1
British Columbia,    High Wage,Riverside Forest Products (2018) Inc.,"Surrey, BC V3R 2V3","7302-Contractors and supervisors, heavy equipment operator crews",1
British Columbia,    High Wage,RN Canada Accounting and Advisory Corporation,"VANCOUVER, BC V6Z 1S4","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,RNG Immigration Consultancy Ltd,"new Westminster, BC V3M 4K5",1241-Administrative assistants,1
British Columbia,    High Wage,RNN FOOD SUPPLY LTD,"Coquitlam, BC V3K 6R2",1221-Administrative officers,1
British Columbia,    High Wage,Robertson Forming Ltd,"Surry, BC V3S 6Z1",7271-Carpenters,1
British Columbia,    High Wage,Rob's Auto Care Ltd.,"Burnaby, BC V5C 4L9",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Rocket Logistics Incorporated,"Abbortsford, BC V2T 0E4",7511-Transport truck drivers,6
British Columbia,    High Wage,Rocman Contracting Limited,"Richmond, BC V6V 3C9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
British Columbia,    High Wage,Roots and Wings Enterprises Limited,"Surrey, BC V3S 0X9","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,RORI MOMO JAPANESE KOREAN RESTAURANT LTD.,"Vancouver, BC V6Z 2S7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,ROSSDOWN FEEDS LTD,"Langley, BC V4W 1V3","9461-Process control and machine operators, food, beverage and associated products processing",1
British Columbia,    High Wage,Royal Drywall Ltd,"Surrey, BC V3W 6V1","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,Royal Kitchen Cabinets Ltd.,"Surrey, BC V3W 3A4",1241-Administrative assistants,1
British Columbia,    High Wage,Royal Star Enterprises Inc.,"Kelowna, BC V1X 7W1","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
British Columbia,    High Wage,Royal Tandoor Indian Cuisine Limited,"Victoria, BC V8X 1K1",6322-Cooks,3
British Columbia,    High Wage,Ruman Holdings Ltd.,"Surrey, BC V4N 0L3",0631-Restaurant and food service managers,2
British Columbia,    High Wage,Russell Brewing Company Ltd.,"Surrey, BC V3W 3B2","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Rusty's Auto Towing Ltd.,"Richmond, BC V6V 1L5","0016-Senior managers - construction, transportation, production and utilities",1
British Columbia,    High Wage,RV DRYWALL LTD,"Surrey, BC V3S 4P7",7236-Ironworkers,1
British Columbia,    High Wage,S & A EXCAVATING LTD,"Surrey, BC V3S 0V1","7302-Contractors and supervisors, heavy equipment operator crews",1
British Columbia,    High Wage,S B Framing Ltd.,"Surrey, BC V3V 1C2",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,S B Framing Ltd.,"Surrey, BC V3V 1C2",7271-Carpenters,2
British Columbia,    High Wage,S&CA Construction LTD,"Coquitlam, BC V3J 3P2",7281-Bricklayers,1
British Columbia,    High Wage,S. Kelly Contracting Ltd.,"Vancouver, BC V5Z 4R3",7271-Carpenters,1
British Columbia,    High Wage,S. P.S Truck Repairs Ltd,"Burnaby, BC V5J 1X5",7237-Welders and related machine operators,1
British Columbia,    High Wage,S.G.L Trucking Ltd.,"Delta, BC V4C 0E1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,S.K.H. Logistics Ltd.,"Surrey, BC V3W 1W8",7511-Transport truck drivers,1
British Columbia,    High Wage,S.S. Uppal Trucking Ltd,"Delta, BC V4K 4E2",7511-Transport truck drivers,2
British Columbia,    High Wage,S.T ALI INVESTMENTS LTD.,"SURREY, BC V3V 2N8",7511-Transport truck drivers,2
British Columbia,    High Wage,saab electric ltd.,"Surrey, BC V3R 3V9",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Sabterra Holdings Ltd.,"Surrey, BC V3W 0E6",0111-Financial managers,1
British Columbia,    High Wage,Sahnewal Custom Design Ltd.,"Surrey, BC V3W 8J9",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,Sakurabo Collection Ltd.,"Nanaimo, BC V9R 2T5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Saman Bakery LTD.,"North Vancouver, BC V7P 1R4",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Samra Bros Roofing Ltd,"white rock, BC V4B 2X1",7291-Roofers and shinglers,1
British Columbia,    High Wage,Samsoonie Food Ltd,"Richmond, BC V6X 1A7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,SAN INDUSTRIES LTD.,"LANGLEY, BC V1M 3N8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,SAN INDUSTRIES LTD.,"LANGLEY, BC V1M 3N8","9215-Supervisors, forest products processing",1
British Columbia,    High Wage,Sandhar Trucking Ltd.,"Delta, BC V3M 5R6",1241-Administrative assistants,1
British Columbia,    High Wage,Sandhu Landscaping Ltd.,"Surrey, BC V3S 2T4",2225-Landscape and horticulture technicians and specialists,1
British Columbia,    High Wage,SANGAM RESTAURANT & CATERING LTD.,"MISSION, BC V2V 6P7",6322-Cooks,1
British Columbia,    High Wage,Satluj Multimedia Ltd,"Abbotsford, BC V2T 3S5",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,"SAVEMORE PLUMBING,HEATING & ELECTRICAL SUPPLIES LTD","SURREY, BC V3W 3G8",1221-Administrative officers,1
British Columbia,    High Wage,SBG Enterprises Canada Inc.,"North Vancouver, BC V7N 3X4",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Scanline VFX Inc.,"Vancouver, BC V6C 1W6",2174-Computer programmers and interactive media developers,1
British Columbia,    High Wage,Schroders Holding Group Inc.,"Richmond, BC V7B 0A2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,seaside pearl gifts inc,"abbotsford, BC V4X 1V6",0111-Financial managers,1
British Columbia,    High Wage,Seaville Transport Logistics Ltd,"Richmond, BC V6V 1L6",7237-Welders and related machine operators,2
British Columbia,    High Wage,Seaville Transport Logistics Ltd,"Richmond, BC V6V 1L6",7511-Transport truck drivers,5
British Columbia,    High Wage,Serpentine Cedar Roofing Ltd,"Langley, BC V1M 3N7",7291-Roofers and shinglers,1
British Columbia,    High Wage,Shan Holdings Inc.,"Merritt, BC V1K 1C4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Shine Construction Ltd,"Surrey, BC V3R 7K9","7284-Plasterers, drywall installers and finishers and lathers",3
British Columbia,    High Wage,SHINE DRYWALL LTD.,"Surrey, BC V3S 6W2",7611-Construction trades helpers and labourers,3
British Columbia,    High Wage,Shogun Productions Canada Inc.,"NORTH VANCOUVER, BC V7J 3S5",1111-Financial auditors and accountants,1
British Columbia,    High Wage,Showcrafter Production Ltd.,"Richmond, BC V6X 2W8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Sigma Plumbing & Heating Inc,"Surrey, BC V3W 7H6",7251-Plumbers,1
British Columbia,    High Wage,Sikh child cultural entertainment society,"delta, BC V4C 6S3",1221-Administrative officers,1
British Columbia,    High Wage,Sikh child cultural entertainment society,"delta, BC V4C 6S3",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Silver Springs Medical Spa Inc,"Vancouver, BC V6G 1C2",6316-Other services supervisors,1
